"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","1","Tarifario","0","0","Consulta de Cruceros Completa (Modales y Tarifas)","0"
"0","","1","Tarifario","0","0","Consulta de Excursiones Completa (Tooltips, Modales y Tarifas)","0"
"0","","1","Tarifario","0","0","Consulta de Hoteles Completa (Tags, Modales y Tarifas)","0"
"0","","1","Tarifario","0","0","Consulta de Traslados Completa (Tooltips, Modales y Tarifas)","0"
"0","","1","Tarifario","0","0","Consulta de Cena Show Completa (Tooltips, Modales y Tarifas)","0"
"0","","1","Tarifario","0","0","Consulta de Paquetes, validación de UI y descarga de Word","0"
"0","","1","Tarifario","0","0","Consulta de Ofertas Completa (Modales y Tarifas)","0"
