"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Login","1","0","Login de usuario","0"
"0","","0","Reservar Servicios","1","0","Búsqueda, filtrado y reserva de excursión en Bariloche","0"
"0","","0","Tarifario","1","0","Consulta de Paquetes, validación de UI y descarga de Word","0"
"0","","0","Ofertas","1","0","Nuevo flujo E2E: Búsqueda de Oferta a 7 días y validación de UI","0"
"0","","0","Tarifario","1","0","Consulta de Excursiones","0"
"0","","1","Reservar Hoteles","0","0","Búsqueda, filtrado y reserva de hotel en Bariloche","0"
